"scope_section","requirement_id","description","phase","db_objects","service_or_action","controller_or_endpoint","policy_and_permission","frontend_route_and_component","queue_or_scheduler","audit_event","automated_tests","manual_verification","status","evidence"
"§15","SRV-BRANCH-002","Branch scope enforcement (foreign branch 404; missing assignment 403)","7-9","branch_user_assignments","EnsureBranchScope","api/v1/branches/{branch}*","no_branch_scope","-","-","unauthorized_access","CrossBranchAccessTest;BranchRouteBindingTest","-","verified_complete","docs/verification/evidence/security-results.md#4;PR #7-#9 merged (Phases 7-9); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§34","SRV-STAFF-001","Staff invitations (hashed 72h token, atomic accept, resend/revoke)","7","staff_invitations;staff_profiles;branch_user_assignments;staff_history","CreateStaffInvitation;AcceptStaffInvitation","api/v1/staff-invitations*","StaffInvitationPolicy","/staff StaffInvitations.vue","-","invitation_*","StaffInvitationTest;StaffInvitationAcceptTest;StaffInvitationResendRevokeTest;DuplicateActiveStaffTest","Mailpit invite link","verified_complete","docs/proof/phase-7.md;PR #7 merged (Phase 7); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§34","SRV-STAFF-002","Staff lifecycle (activate/suspend/deactivate) revokes sessions/links/invitations","7","merchant_users;staff_profiles;sessions;magic_login_tokens","StaffLifecycleService","api/v1/staff/{staff}/(activate|suspend|deactivate)","StaffProfilePolicy","-","-","staff_* lifecycle","StaffLifecycleRevocationTest;StaffSuspensionTest","-","verified_complete","docs/verification/evidence/security-results.md#6;PR #7 merged (Phase 7); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§19","SRV-PERM-001","Permission resolver (role defaults +/- overrides; deny beats grant; audit read-only)","8","permissions;roles;role_permission_assignments;merchant_user_permission_overrides","PermissionRegistry;PermissionResolver","api/v1/staff/{staff}/permissions;api/v1/hr/permission-preview","EnsurePermission;policies","/hr PermissionPreview.vue","-","permission_override_*","PermissionMatrixTest;PermissionMiddlewareTest;PermissionDeniedStillWorksTest;AuthorityBoundariesTest;HrSelfEscalationTest;PermissionOverrideAuditTest","-","verified_complete","docs/proof/phase-8.md;PR #8 merged (Phase 8); canonical closure in SRV-PERM-002;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§19","SRV-PERM-002","Canonical permission matrix (full §19.2/19.3) + four-way parity + per-key allow/deny + role-boundary/maker-checker + MFA/step-up","19","permissions;roles","Phase 19 Increment 6: docs/auth/permission-matrix.yaml (151 canonical [70 active + 81 planned] + 17 legacy-active = 168 rows, 87 active); PermissionMatrix loader; servana:permission-types → resources/spa/src/types/generated/permissions.ts (87 active); YAML==PHP==DB==TS=87; audit.view_full/audit.flag absent everywhere; legacy rows carry canonical_successor+owning_phase (reconciled in owning phases per §19.1)","-","resources/spa/src/types/generated/permissions.ts (87 active keys)","finance.audit.view MFA (EnsurePrivilegedMfa) + audit.export fresh step-up (RequireFreshMfa); platform.audit.export metadata-only","-","-","PermissionMatrixSchemaTest;PermissionMatrixCatalogueCompletenessTest;PermissionMatrixParityTest;PermissionMatrixPlanMetadataParityTest;PermissionLegacyKeyReconciliationTest;PermissionPlannedKeyIsolationTest;PermissionTypeScriptParityTest;PermissionDatabaseProjectionTest;PermissionPerKeyAllowTest;PermissionPerKeyDenyTest;PermissionOverrideTest;PermissionNonOverridableTest;PermissionMakerCheckerTest;PermissionRoleBoundaryTest;PermissionMfaCoverageTest;PermissionStepUpCoverageTest","§2 closure: all 151 canonical Plan-encoded attributes mechanically verified vs an INDEPENDENT §19.3 parse (no placeholders); audit_event derived from live routes+AuditMutationCoverage; owning_phase assigned per §80; 17 legacy → planned successor|null + valid owning phase; 81 planned isolated from registry/DB/TS/routes/grants. tests/Feature/Auth 192 pass/1670 assertions; Pint clean; Larastan L8 no errors; REM-PERM-001 local_complete (pending Phase 19 PR CI/review/merge)","verified_complete","docs/proof/phase-19.md;docs/auth/permission-matrix.yaml;docs/remediation/register.yaml#REM-PERM-001;Phase 19 PR #32 MERGED 7ef259e28f51fc9bba24a16ef3945ff61ddef4ce; CI run 28736716360 five checks SUCCESS; REM-PERM-001 verified_complete; Phase 23 activated staff.view (131 active / 37 planned / 168 catalogue) - docs/proof/phase-23.md"
"§70","SRV-AUDIT-001","audit_logs append-only + per-merchant/platform hash chain (DB trigger blocks UPDATE/DELETE)","8/R2","audit_logs(+branch_id)","DatabaseAuditRecorder;AuditChainHasher","-","-","-","-","(chained)","AuditImmutabilityTest;AuditReadOnlyTest","UPDATE/DELETE blocked; runtime trigger proof","verified_complete","docs/proof/phase-r2.md;docs/architecture/adr/0008-audit-immutability-and-chain.md;PR #8 + PR #14 merged (Phases 8/R2); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§70","SRV-AUDIT-002","Core audit event coverage (auth/invitation/membership/branch/staff/override/unauthorized) + chain verifier + masked read API + policies","R2","audit_logs(+branch_id)","AuditEvent;AuthAuditLogger;DatabaseAuditRecorder;VerifyAuditChain;AuditValueMasker","Api/V1/Audit/AuditLogController;Platform/PlatformAuditLogController;audit:verify-chain","AuditLogPolicy;audit.view_full;platform.audit.view","-","-","(core events)","AuditEventCoverageTest;AuthAuditIntegrationTest;AuditChainVerificationTest;AuditMaskedReadTest;AuditBranchScopeTest;PlatformAuditPolicyTest","verify-chain exit 0; masked reads; branch/platform scope","verified_complete","docs/proof/phase-r2.md;docs/remediation/register.yaml#REM-AUD-001;PR #14 merged 1df759e (Phase R2, PROGRESS: verified_complete);Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§70","SRV-AUDIT-003","Full audit coverage (financial/billing/M-Pesa/compensation/SMS/file/export) + flagged-event workflow + masked domain-segmented reads","19","audit_flagged_events;audit_logs","FlagAuditEvent;StartFlaggedEventReview;ResolveFlaggedEvent;DismissFlaggedEvent;ReopenFlaggedEvent;AuditFlaggedEventStateMachine;AuditMutationCoverage;AuditDomain","AuditFlaggedEventController (6 routes) + AuditLogController (index/finance/compensation/show)","auth:sanctum;ResolveTenantContext;EnsurePermission;EnsureBranchScope","audit.branch_events.view;audit.finance.view;audit.compensation.view;audit.flagged_event.*","-","audit.flagged_event.created/review_started/resolved/dismissed/reopened","AuditFlaggedEventWorkflowTest;AuditFlaggedEventIsolationTest;AuditSourceMutationDenialTest;AuditReadSegmentationTest;AuditRedactionTest;AuditMutationCoverageTest;AuditSeverityCoverageTest;e2e/audit.spec;flaggedEventStore.spec;FlaggedEventDetail.spec","Phase-19 scope done: flagged-event review workflow (review-metadata-only; source immutable), masked branch-scoped domain-segmented reads (branch-null excluded), enforced mutation→audit coverage guard over EVERY implemented mutating route (504 assertions), Audit + Finance frontend. Deferred-DOMAIN emissions (billing→20A-20E, compensation→20F-20H, notifications/reports→21N, SMS→21S) land with their OWNER phases — the coverage guard fabricates none. Full gates serial 1062 + parallel 1062 (0 fail)","verified_complete","docs/proof/phase-19.md;docs/remediation/register.yaml#REM-AUD-001;Plan §70 assigns integration audit events to their owning phases (20D-W/21R-A/21R-B), outside this row; AuditMutationCoverageTest proves every live mutating route emits a typed event; billing/compensation/SMS emissions merged with 20A-20H/21S; Wallet emissions tracked on SRV-WAL-002 (blocked_external_gate)"
"§70","SRV-AUDIT-004","Scheduled audit-chain verification (daily, singleton, leader-only) + one bounded redacted failure signal per failing run","19","-","App\Domain\Audit\Services\VerifyAuditChain; App\Domain\Audit\Events\AuditChainVerificationFailed","-","-","-","routes/console.php: Schedule::command(audit:verify-chain)->daily()->withoutOverlapping()->onOneServer()","-","AuditChainScheduleTest;AuditChainFailureSignalTest;AuditChainVerificationTest","php artisan audit:verify-chain returns OK on a clean chain and exits non-zero after a tamper; schedule:list shows the daily entry","verified_complete","docs/proof/phase-19.md (Increment 7);routes/console.php;Phase 19 PR #32 MERGED 7ef259e2;centralized alert transport is a separate §71 concern tracked as SRV-AUDIT-006"
"§13.5","SRV-AUDIT-005","Audit export: async, reason-gated, permission-masked, signed/expiring, download-counted (on stream), branch-scoped; merchant-level branch-null rows never exported (ADR-010; product-owner decision resolving REM-AUDEXP-001)","19","audit_exports","RequestAuditExport;GenerateAuditExport;AuditExportCsvBuilder;AuditExportStateMachine;RevokeAuditExport;ExpireAuditExport;RecordAuditExportDownload","AuditExportController (audit.export + fresh step-up + EnsureBranchScope)","auth:sanctum;ResolveTenantContext;RequireFreshMfa:audit_export_create","audit.export","SU Y","audit_export.requested/generated/failed/downloaded/expired/revoked","AuditExportSchemaTest;AuditExportWorkflowTest;AuditExportMaskingTest;AuditExportIsolationTest;AuditExportAuthorizationTest;AuditExportStepUpTest;AuditExportExpiryDownloadCountTest;AuditExportJobIdempotencyTest;AuditExportAuditTest;auditExportStore.spec;AuditExportList.spec;e2e/audit.spec(export scenarios);Phase23ExportHardeningTest","31 backend tests/122 assertions green; masked CSV + private file + stream-counted; branch-null never exported; no path/signature/id leak. Increment 8 frontend: auditExportStore + AuditExportList/AuditExportDetail (list/request/detail/download/revoke; on-demand signed link never stored; step-up/reason/branch validation; polling; no file_id/path/signature). §9 fix: AuditExportController stream-route signing moved into FileAccessService::signDownloadRoute (§65 boundary), stream accounting preserved; audit-export test helpers moved to tests/Pest.php for parallel visibility. Full gates: serial 1062 + parallel 1062 (0 fail); Playwright audit.spec export flows green; axe 0","verified_complete","docs/proof/phase-19.md;docs/architecture/adr/0010-audit-export-persistence.md;docs/remediation/register.yaml#REM-AUDEXP-001;Phase 19 PR #32 MERGED 7ef259e2; REM-AUDEXP-001 verified_complete; Phase 23 Increment 4 hardened the download boundary (PH23-EXP-001) - docs/security/phase-23-export-hardening.md"
"§24","SRV-IDEMP-001","Corrected idempotency store + middleware (SHA-256 key hash; deterministic scope + canonical request hash; encrypted replay-safe responses; PostgreSQL unique+FOR UPDATE concurrency; active/expired-lock handling; stable-failure replay; pruning; provider dedupe seam; financial-route coverage)","R4","idempotency_keys","IdempotencyStore;CanonicalRequestHasher;IdempotencyScopeResolver;ReplayResponseSanitizer;ProviderReplayGuard;PruneIdempotencyKeys","EnsureIdempotentRequest (financial_mutation routes; no production routes yet — testing harness)","RouteClassification (route_class);auth:sanctum;ResolveTenantContext","-","schedule:work idempotency:prune daily","-","IdempotencySchemaTest;CanonicalRequestHashTest;IdempotentReplayTest;IdempotencyConflictTest;IdempotencyConcurrencyTest;ExpiredLockRecoveryTest;ReplayResponseSecurityTest;IdempotencyPruneTest;ProviderCallbackDedupeSeamTest;FinancialRouteIdempotencyCoverageTest","schema via psql \d; encrypted-at-rest + raw-key-absent verified","verified_complete","docs/proof/phase-r4.md;docs/architecture/adr/0003-idempotency-and-replay-protection.md;docs/remediation/register.yaml#REM-IDEMP-001;PR #16 merged 1288f48 (Phase R4, PROGRESS: verified_complete);Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§10/§11","SRV-OPS-001","Money VO; error envelope; correlation IDs; rate limiters; redaction; health probes","3","-","Money;ApiErrorRenderer;CorrelationId;Redactor","GET health;GET health/deep","-","-","-","-","LivenessProbeTest;ReadinessProbeTest;ReadinessDependencyFailureTest;HealthResponseRedactionTest;ProductionReadinessConfigurationTest","-","verified_complete","docs/proof/phase-3.md;PR #3 merged (Phase 3); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md;Phase 23 Increment 5 reconciled automated_tests to the suites that actually exist on disk; the previous cell named suites that were never created"
"§71","SRV-OPS-002","Liveness/readiness split; prod deps (database/redis/cache/s3) required in readiness with 503 + bounded timeouts + safe redaction; Redis/cache/rate-limit per-run/process isolation; PHP8.3/Node20/Composer2 parity; ADR-009 brand contrast","R7","-","HealthController;config/servana.php(health);tests/bootstrap.php(namespace)","GET health (liveness);GET health/deep (readiness 503)","-","-","prod nginx healthcheck=/health/deep","-","LivenessProbeTest;ReadinessProbeTest;ReadinessDependencyFailureTest;HealthResponseRedactionTest;ProductionReadinessConfigurationTest;RedisPrefixIsolationTest;CacheIsolationTest;RateLimitIsolationTest;ParallelTestIsolationTest;RuntimeParityTest;BrandContrastTokenTest","503 on each required-dep failure; 3x parallel stable; AA ratios measured; PR #19 merged (4f0d4f3), CI Backend/Frontend/Docker/Security SUCCESS, governance exception","verified_complete","docs/proof/phase-r7.md;docs/architecture/adr/0009-brand-contrast-tokens.md;docs/remediation/register.yaml#REM-OPS-001"
"§12/§28-30","SRV-UI-001","Frontend foundation: layouts, stores, apiClient, useForm, UI kit, breakpoints, dark tokens","4","-","-","-","-","8 role layouts; ui/Sv* components","-","-","vitest 72;e2e 27 (axe AA)","3 breakpoints no h-scroll","verified_complete","docs/verification/evidence/test-results.md;PR #4 merged (Phase 4); CI green;Phase V as-built verification PR #12 merged c58b64a;pre-feature gate closure PR #20 merged 7ac20a5;docs/proof/phase-v.md"
"§1","SRV-DEP-001","Laravel 12.60+ (12.62.0) on PHP 8.3 pinned; advisory removed; CR/LF + signed-URL regression; ADR-001 + upgrade notes + R1 proof","R1","-","-","-","-","-","-","-","EmailHeaderInjectionTest(4);SignedUrlIntegrityTest(4);composer audit 0;pint;stan L8","PR #13 merged (8fe575f); CI Backend/Frontend/Security/Docker passed; solo-maintainer governance exception (reviewDecision blank, not independent approval)","verified_complete","docs/proof/phase-r1.md;docs/architecture/adr/0001-framework-upgrade.md;docs/operations/laravel-12-upgrade.md;docs/governance/solo-maintainer-review-exception-pr-13.md"
"§9/§17-19/§24","SRV-SESS-001","Session/token/Magic-Link/invitation revocation; per-request active-principal + membership/role/branch/permission freshness; mid-session suspension; 404/403 posture unchanged","R6","sessions;personal_access_tokens;magic_login_tokens;staff_invitations (revocation targets; no schema change)","AccessRevocationService(revokeForUser/Membership/Merchant);RevocationSummary;StaffLifecycleService;RequestMagicLink;TenantContextResolver;PermissionResolver","EnsureActivePrincipal (auth-group);POST api/v1/auth/logout","EnsureActivePrincipal;EnsureMerchantActive;EnsureBranchScope;EnsurePermission","apiClient 401 handler;main.ts (UX only)","-","membership.suspended/deactivated (+revocation counts);logout","SessionRevocationTest;AuthorizationFreshnessTest;MagicLinkRevocationTest;SanctumTokenRevocationTest;InvitationRevocationTest;PermissionFreshnessTest;BranchAssignmentFreshnessTest;RevocationMiddlewareOrderTest;MidSessionSuspensionTest;RevocationIsolationPostureTest","real DB-backed session 401 after suspension; multi-device revoke; audit chain verified; no secrets in logs; PR #18 merged (57ae8db), CI Backend/Frontend/Docker/Security SUCCESS, governance exception","verified_complete","docs/proof/phase-r6.md;docs/remediation/register.yaml#REM-SESS-001"
"§5.4","SRV-GATE-001","Pre-feature remediation gate (§5.4): all PRE_FEATURE_REMEDIATION items (Phase V + R1-R7) verified_complete; gate CLOSED and effective (gate-closure PR #20 merged 7ac20a5); Phase 10 started","gate","-","-","-","-","-","-","-","register 9/9 verified_complete; per-phase proofs phase-v..phase-r7; ADR-001/002/003/008/009","gate-closure PR #20 merged (7ac20a5, 2026-06-23), CI Backend/Frontend/Docker/Security SUCCESS, reviewDecision blank; solo-maintainer gate-closure governance exception (no independent approval); R7 = PR #19 (4f0d4f3)","verified_complete","docs/proof/pre-feature-remediation-gate-closure.md;docs/remediation/pre-feature-completion-report.md;docs/governance/solo-maintainer-pre-feature-gate-closure-exception.md"
"§23/§24","SRV-API-001","Route classification registry (8 classes incl. liveness_readiness) + RouteSecurityContractTest + pagination/filter/sort substrate (default 25/max 100) + resource can-maps + generated OpenAPI + TypeScript contract (REM-ROUTE-001)","10","-","RouteClass;RouteClassification;ApiPagination;HasCapabilities;OpenApiGenerator","every non-GET route declares one class; /api/v1 + /health in docs/api/openapi.json (43 ops)","class-required middleware (auth/tenant/branch/idempotency/permission)","resources/spa/src/types/generated/api.ts","-","-","RouteSecurityContractTest;ForbiddenRouteAbsenceTest;FinancialRouteIdempotencyCoverageTest;PaginationContractTest;FilterSortContractTest;ResourceCapabilityMapTest;OpenApiContractTest;OpenApiTypeParityTest","ALL-COMPLIANT registry scan; composer api:openapi 43 ops; npm run api:contract:check OK; deliberate classification + stale-contract violations shown failing then reverted; PR #21 merged 4f761ff, five-job CI SUCCESS (Backend/Frontend/Docker/Security/E2E—Playwright), governance exception (no independent approval)","verified_complete","docs/proof/phase-10.md;docs/api/openapi.json;docs/remediation/register.yaml#REM-ROUTE-001"
"§13/§8","SRV-MIG-001","Expand-and-contract migration strategy (ADR-004) + migration manifest inventory of all 33 migrations + lint (REM-MIG-001)","10","(all 33 migrations inventoried; none edited)","-","-","-","-","-","-","MigrationManifestTest","manifest lint green; no shipped migration edited; no new business migration created; PR #21 merged 4f761ff, five-job CI SUCCESS, governance exception (no independent approval)","verified_complete","docs/proof/phase-10.md;docs/architecture/adr/0004-migration-strategy.md;docs/architecture/migrations/manifest.yaml;docs/remediation/register.yaml#REM-MIG-001"
"§65/§73","SRV-FILE-001","Secure file & media foundation: uploaded_files/file_scan_events exact schema; FilePurposeRegistry; private quarantine upload pipeline (streaming SHA-256, magic-byte MIME, dangerous-file rejection); ClamAV INSTREAM scanning (real EICAR); clean-file finalization + image re-encode/metadata strip; signed authenticated private downloads with authorization rechecked at issue+download; tenant/branch/own-scope isolation; 5 jobs + file-scanning worker/schedules; audit + redaction; storage-boundary guard; SvFileUpload UI (REM-FILE-001)","10F","uploaded_files;file_scan_events","FileUploadPipeline;ClamAvScanner;ImageSanitizer;FileAccessService;FilePurposeRegistry;FileGenerationPolicy;ScanUploadedFile;FinalizeCleanFile;ExpireSignedExport;DeleteExpiredQuarantineFile;VerifyOrphanedFileRecords","POST/GET api/v1/files;POST api/v1/files/{id}/download-link;GET api/v1/files/{id}/download (signed+auth)","per-purpose permission (merchant.profile.manage/staff.edit) + own-scope + signed temporary URL","SvFileUpload.vue;useFileDownload.ts","file-scanning queue + worker;hourly expiry/quarantine-cleanup;daily orphan verify","file.upload_accepted/rejected;file.scan_clean/infected/failed;file.available;file.downloaded;file.access_denied;file.expired_or_deleted","FileSchemaTest;FilePurposeRegistryTest;FileUploadValidationTest;FileScanPipelineTest;ClamAvEicarIntegrationTest;FileDownloadAuthorizationTest;FileSignedUrlExpiryTest;FileJobIdempotencyTest;FileRetentionCleanupTest;FileStorageBoundaryTest;FileTenantIsolationTest;FileLogRedactionTest;FileRouteSecurityContractTest;FileMigrationManifestTest;FileBillingReadOnlySeamTest;SvFileUpload.spec;useFileDownload.spec","52 file backend tests + 3 real-ClamAV EICAR + 6 frontend pass; pint/stan clean; api:openapi deterministic; storage-boundary deliberate violation shown failing then removed; PR #22 merged 9b493e6, five-gate CI SUCCESS (Backend/Frontend/Docker/Security/E2E—Playwright) + genuine ClamAV EICAR without skipping, governance exception (no independent approval)","verified_complete","docs/proof/phase-10f.md;docs/architecture/data-dictionary/files-and-media.md;docs/remediation/register.yaml#REM-FILE-001"
