"id","category","severity","status","account","current_host_or_origin","route","page_or_surface","observed_problem","governing_requirement","expected_behavior","actual_behavior","evidence_paths","source_paths","root_cause_status","root_cause","affected_accounts","security_or_business_impact","future_owner_phase","entry_condition","future_acceptance_test","external_dependency","notes"
"UI01-ROUTE-005","routing","observation","open","all","http://localhost:4173 (vite preview)","20 named routes","Routes without navigation","20 named parameter-free routes have no navigation entry and no recorded reason for being outside navigation.","UI/UX plan §7 navigation and screen contract","Every route is either reachable from navigation or explicitly recorded as intentionally not navigable.","The route audit lists 20 named routes with no matching navigation registry entry. Detail and creation routes are legitimately reached from their parent list, but no field records that intent.","docs/frontend/audits/ui-01/route-component-page-audit.json (totals.routes_without_navigation)","resources/spa/src/navigation/roleNavigation.ts; resources/spa/src/router/routes/","unproven","Hypothesis for the owning phase to confirm: most are intentional child surfaces reached from a parent screen, but the registry has no field to express that, so intentional and accidental omissions look identical.","all eight accounts","No current user impact. Prevents automated navigation-coverage proof.","UI-07","UI-07 builds the navigation registry and screen contracts","The navigation registry records an explicit non-navigable reason for every route absent from navigation, and a test fails on an unexplained omission.","none","Observation, not a product defect."
"UI01-ROUTE-006","dead-code","low","open","merchant_finance","http://localhost:4173 (vite preview)","n/a","Finance dashboard placeholder","A placeholder component is dead code: no route renders it and no file imports it.","UI/UX plan §6 frontend architecture","Unreferenced components are removed rather than left in the source tree.","resources/spa/src/pages/finance/DashboardStub.vue is 7 lines long, is imported by no file and is reachable from no route. The finance.dashboard route resolves to resources/spa/src/pages/finance/TaskInbox.vue. The other four DashboardStub.vue files are still routed and are covered by UI01-ROUTE-002.","docs/frontend/audits/ui-01/route-component-page-audit.json (totals.orphaned_components)","resources/spa/src/pages/finance/DashboardStub.vue; resources/spa/src/router/routes/finance.ts","proven","The Finance dashboard route was repointed at the real TaskInbox screen and the placeholder was not deleted.","merchant_finance","None. Dead source only.","UI-12","UI-12 implements the Finance account pages","No component under resources/spa/src/pages is unreferenced by both the router and every other source file.","none","Detecting this required tightening the audit's reference heuristic: five identically named DashboardStub.vue files made a basename match report each as referenced by the others."
"UI01-NAV-001","navigation","medium","open","multiple","http://localhost:4173 (vite preview)","branch.list; personnel.sms; platform.billing-settings; platform.registration-monitoring; search","Navigation targets","Five route targets are shared by multiple navigation labels, so distinct contract pages collapse onto one screen.","UI/UX plan §7 navigation and screen contract; Appendix A","Each contract page has its own navigation entry and its own screen.","platform.billing-settings is the target of the Billing settings, Plans and entitlements, Preferred-personnel fee rule, Platform fees and Platform settings labels. platform.registration-monitoring is the target of both Merchant directory and Registration monitoring. personnel.sms is the target of both My served clients and Client SMS. branch.list and search are each shared across accounts.","docs/frontend/audits/ui-01/navigation-role-audit.json (totals.duplicate_route_targets; navigation_items.shares_route_with)","resources/spa/src/navigation/roleNavigation.ts","proven","Earlier phases delivered several contract capabilities as one consolidated tabbed screen and pointed every relevant label at it, which the registry comments record as a deliberate choice to avoid dead links.","super_administrator; merchant_branch; merchant_personnel","Distinct navigation labels lead to the same destination, which is confusing and understates the contract's page count.","UI-07","UI-07 builds the full 160-page runtime route and screen contract","The navigation contract test asserts each contract page has exactly one navigation entry and one distinct route.","none","The consolidation was intentional at the time. UI-07 decides whether the contract requires separation."
"UI01-NAV-002","layout","observation","open","merchant_human_resource","http://localhost:4173 (vite preview)","/hr","Human Resource shell","The Human Resource account has no shell of its own; it reuses the Branch layout.","UI/UX plan §4 hosts and §9 design system","Each account has a shell appropriate to its own navigation and identity.","ROLE_ENTRY maps both merchant_branch and merchant_human_resource to BranchLayout. All other accounts have a distinct layout component.","docs/frontend/audits/ui-01/navigation-role-audit.json (per_account.layout_component; layout_is_shared)","resources/spa/src/types/roles.ts; resources/spa/src/layouts/BranchLayout.vue","proven","Only one layout was authored for the branch-scoped accounts.","merchant_human_resource; merchant_branch","No current functional impact; the navigation list is still role-specific. Becomes a defect if the two accounts diverge visually or structurally.","UI-04","UI-04 delivers the shared component library and account shells","Each account resolves to a shell whose navigation, identity and structure match its own contract entry.","none","UI-11 must re-verify when it implements the Human Resource pages."
"UI01-NAV-003","navigation","medium","open","merchant_branch","http://localhost:4173 (vite preview)","/branch","Branch navigation","The Branch navigation renders five inert disabled entries.","UI/UX plan §7 navigation and screen contract","Planned capabilities are presented so a user can tell what is unavailable and why.","The rendered Branch navigation contained 7 visible links, 5 of which carried a disabled state. The registry marks 7 of 17 Branch items as planned with no route.","docs/proof/ui-01/network/browser-evidence.json (navigation_observations); docs/frontend/audits/ui-01/navigation-role-audit.json","resources/spa/src/navigation/roleNavigation.ts; resources/spa/src/components/navigation","proven","The registry requires planned items to be present because the authoritative navigation lists them, and renders them as clearly disabled rather than as dead links.","merchant_branch","A user sees more unavailable entries than available ones in this account.","UI-10","UI-10 implements the Branch account pages","The Branch navigation renders no permanently disabled entry once its contract pages are delivered.","none","Rendering planned items as disabled was the deliberate alternative to dead links. UI-10 resolves it by delivering the pages."
"UI01-HOST-001","host-architecture","high","open","all","single origin","n/a","Host architecture","None of the eight production account hosts is configured. One origin serves every account and the experience is selected entirely from the authenticated session.","ADR-016 (eight account hosts, one application); ADR-017; UI/UX plan §4","Each account is served on its own host, the host selects the experience, and authorization is re-evaluated from the database on every request.","The nginx server block declares 'server_name _', which matches any host. No Laravel route, middleware or config file references Route::domain, ->domain( or any servana.ke hostname. None of citrus.servana.ke, servana.ke, branch., hr., finance., office., staff. or audit. is configured.","docs/proof/ui-01/network/environment-capture.json (host_routing_evidence; planned_host_probes); docs/frontend/audits/ui-01/navigation-role-audit.json (planned_host_probes)","docker/nginx/default.conf; routes/web.php; config/","proven","The multi-host foundation has not been built. It is scheduled work, not a regression.","all eight accounts","No security impact today because the host is not an authorization input anywhere. The contracted account separation does not exist.","UI-02","UI-02 is the multi-host foundation phase","Each of the eight hosts resolves to its own account experience, and a test proves the host is never consulted by any policy, gate or query scope.","none","A DNS answer for these public names on the audit network is not evidence the product serves them; the repository evidence is decisive."
"UI01-THEME-001","theme","high","open","all","http://localhost:4173 (vite preview)","all","Theme bootstrap","The operating-system colour scheme selects the theme: a user with a dark OS preference and no stored Servana preference gets dark mode at first paint.","ADR-021 (light mode is the default; prefers-color-scheme must not select the theme); CLAUDE.md guardrail 15","Light mode is the default. prefers-color-scheme is never consulted. Dark mode is explicit and persistent per browser when anonymous and per user record when authenticated.","With colorScheme dark and no stored preference the root element carried class 'dark' at first paint and rendered dark. The pre-hydration script reads window.matchMedia('(prefers-color-scheme: dark)') and applies the dark class when no stored value exists. The other four scenarios behaved correctly.","docs/proof/ui-01/network/browser-evidence.json (theme_observations); docs/frontend/audits/ui-01/theme-asset-legal-audit.json (theme)","resources/spa/index.html:14-20","proven","The pre-hydration theme script applies dark when 'stored' is absent and 'prefersDark' is true. The condition should depend on the stored value alone.","all eight accounts","Every anonymous visitor on a dark-preference device sees a theme the product does not default to. Contrast and brand expression were designed light-first.","UI-04","UI-04 delivers the design system and theme","A browser test asserts that with prefers-color-scheme dark and no stored preference the root element carries no dark class at first paint and the rendered theme is light.","none","Persistence per authenticated user record is separately owned by UI-03 and was not exercised here."
"UI01-ASSET-001","icons","medium","open","all","http://localhost:4173 (vite preview)","all authenticated pages","Application shell and design system","Emoji and Unicode glyphs are used as icons, and the mandated icon library is not a dependency at all.","ADR icon rule (Heroicons for Vue; no emoji icons); CLAUDE.md guardrail 15","Icons come from Heroicons for Vue. No emoji icons appear in UI source.","The application shell theme toggle renders sun and crescent-moon glyphs directly in the template, so they appear on every authenticated page. The design-system demo renders emoji sun and crescent-moon in a button label. No heroicons package appears in package.json dependencies or devDependencies.","docs/frontend/audits/ui-01/theme-asset-legal-audit.json; docs/proof/ui-01/screenshots (any authenticated shell capture)","resources/spa/src/components/layout/AppShell.vue:161; resources/spa/src/pages/dev/DesignSystemDemo.vue:61; package.json","proven","Heroicons was never installed and the shell was authored with literal glyphs.","all eight accounts","Inconsistent icon rendering across platforms and fonts; the mandated icon system is absent.","UI-04","UI-04 delivers the design system and shared components","No UI source file contains an emoji or decorative Unicode glyph used as an icon, and every icon resolves to a Heroicons component.","none","Only glyphs used as icons are in scope. Text content is unaffected."
"UI01-ASSET-002","brand-assets","medium","open","all","http://localhost:8099 (production nginx image)","/assets/brand/","Public brand directory","Eleven unapproved brand files ship inside the public web root of the production image and are publicly served.","UI/UX plan §17 content integrity; docs/brand/Servana Brand Identity.md; the UI-00 brand-asset inventory","Only approved brand assets are published under the public web root.","The UI-00 brand inventory records 7 approved assets, 1 deleted by authority and 11 marked present_unreferenced. All 11 present_unreferenced files (PNG.png and ten v1/ChatGPT Image PNG working files) exist in the production nginx image under /var/www/html/public/assets/brand and are served.","docs/frontend/audits/ui-01/theme-asset-legal-audit.json (brand_assets.totals.unapproved_but_publicly_served); docs/proof/ui-01/network/environment-capture.json (linux_image_case_probes)","public/assets/brand/PNG.png; public/assets/brand/v1/","proven","Working files were committed under the public directory and no build or image stage filters unapproved assets out.","all eight accounts","Unapproved draft brand material is publicly reachable on any deployment.","UI-05","UI-05 builds the content and asset pipeline","The asset pipeline publishes only inventory-approved brand assets, and a test fails when an unapproved file exists under the served brand directory.","none","UI-01 deleted nothing. Removal is a product-owner decision executed by UI-05."
"UI01-ASSET-003","brand-assets","low","open","all","http://localhost:4173 (vite preview)","n/a","Favicons","Two approved brand assets are never referenced by any source file.","The UI-00 brand-asset inventory; UI/UX plan §17","Every approved asset is either used or explicitly recorded as reserved.","android-chrome-192x192.png and android-chrome-512x512.png are approved and present, but no source file or HTML head references them. Only 5 of the 19 inventoried brand assets are referenced in source.","docs/frontend/audits/ui-01/theme-asset-legal-audit.json (brand_assets.totals.approved_but_unreferenced)","resources/spa/index.html","proven","The SPA head declares favicon.ico, the 16px and 32px PNGs and the apple-touch-icon, but no web app manifest exists to reference the Android icons.","all eight accounts","Android home-screen and installed-app icons are unavailable.","UI-04","UI-04 delivers the design system and shell","The document head or web app manifest references every approved icon asset.","none","No web app manifest exists today; UI-04 decides whether one is required."
"UI01-ASSET-004","landing-images","medium","open","all","http://localhost:4173 (vite preview)","n/a","Landing imagery","All 61 supplied landing images are unused because no landing page exists.","UI/UX plan §6 landing pages and Appendix A","Each account landing page uses approximately two to four of its supplied images.","No source file references public/assets/landing_page_images for any of the eight accounts. Supplied counts per account are 10, 8, 9, 8, 5, 6, 7 and 8.","docs/frontend/audits/ui-01/theme-asset-legal-audit.json (landing_images.per_account)","public/assets/landing_page_images/; resources/spa/src","proven","No public landing page has been implemented, so no image is selected. This is scheduled work, not a regression.","all eight accounts","Supplied product imagery is unused.","UI-06","UI-06 implements the eight public landing pages","Each account landing page references between two and four images from its own supplied directory, and no image from another account.","none","UI-05 compiles the image manifest first. UI-01 selected, cropped, optimised and generated nothing."
"UI01-ASSET-005","build-config","low","open","all","http://localhost:4173 (vite preview)","/assets/brand/","Favicons on the preview origin","The built SPA references favicon URLs that do not exist under its own web root, so they 404 on the preview origin.","UI/UX plan §23 browser evidence","The bundle references assets that resolve on every origin it is served from.","The built index.html references /assets/brand/favicon.ico and three sibling icons. Vite has no publicDir (resources/spa/public does not exist) so these files are absent from public/spa and 404 on the preview origin. They resolve on the served origin only because the Laravel public root also owns /assets.","docs/frontend/audits/ui-01/served-build-provenance.json (index_html.referenced_url_resolution); docs/proof/ui-01/network/environment-capture.json (http_probes)","resources/spa/index.html; vite.config.ts; public/assets/brand/","proven","The brand assets live under the Laravel public root, not under the Vite root, and the bundle assumes it is served from the same origin as that root.","all eight accounts","Missing favicons wherever the bundle is served from a root that does not also contain the Laravel public assets, including every preview and browser-test run.","UI-02","UI-02 owns serving and URL generation","The built bundle resolves every asset URL it references on the origin it is served from, verified on both the preview and served origins.","none","Same underlying base-path assumption as UI01-PROV-001, but a distinct symptom and a distinct fix."
"UI01-LEGAL-001","content","high","open","all","http://localhost:4173 (vite preview)","/legal/{role}/faq","FAQ","No FAQ surface exists for any of the eight accounts, and requesting one renders a broken state rather than a not-found page.","UI/UX plan §6 (every account has a role-specific FAQ); CLAUDE.md section 3A","Each account has a reachable FAQ page rendered verbatim from its source document.","All eight /legal/{role}/faq paths matched the legal.document route, failed to resolve a document and rendered markup with no h1 or h2 landmark. Eight source FAQ documents exist under docs/support/faq and are referenced by no route.","docs/proof/ui-01/network/browser-evidence.json (legal_observations); docs/frontend/audits/ui-01/theme-asset-legal-audit.json (role_content)","resources/spa/src/router/index.ts (legal.document path /legal/:role/:doc); resources/spa/src/pages/legal/LegalDocument.vue; docs/support/faq/","proven","The legal.document route accepts any :doc value. 'faq' is not one of the three legal document types the loader can resolve, so the loader throws and the error state renders without a landmark. No FAQ route was ever registered.","all eight accounts","Contracted FAQ content is unreachable, and the failure presents as a broken page rather than a clear not-found.","UI-06","UI-06 implements the public landing and content surfaces","Each account has a reachable FAQ route rendering its own source document verbatim, and an unknown legal document type renders an explicit not-found surface.","none","The three real legal document types work correctly; see UI01-LEGAL-003."
"UI01-LEGAL-002","content","high","open","all","http://localhost:4173 (vite preview)","n/a","Public landing pages","No public landing page exists for any of the eight accounts.","UI/UX plan §6 (eight landing pages) and Appendix A; CLAUDE.md section 3A","Each account has a role-specific public landing page sourced verbatim from its landing copy.","No route renders any of the eight documents under docs/landing_page. The authenticated role landing at /platform, /merchant and the six sibling paths is the post-login role home, not the public landing page. The deployed root serves the Laravel scaffold view (UI01-PROV-002).","docs/frontend/audits/ui-01/theme-asset-legal-audit.json (role_content.documents.reachable_route); docs/frontend/audits/ui-01/route-component-page-audit.json","docs/landing_page/; resources/spa/src/router; routes/web.php","proven","The public landing pages are scheduled work owned by UI-06 and have not been implemented.","all eight accounts","No public entry point to the product exists for any account.","UI-06","UI-06 implements the eight public landing pages","Each account host root renders that account's landing page with copy sourced verbatim from its landing document.","none","UI-02 must make the hosts serve before UI-06 can place a landing page on each."
"UI01-LEGAL-003","content","observation","open","all","http://localhost:4173 (vite preview)","/legal/{role}/{doc}","Legal documents","The three real legal document types render correctly and verbatim for all eight accounts.","UI/UX plan §17 content integrity; CLAUDE.md (legal text is rendered verbatim and never paraphrased)","Legal text is rendered verbatim from the version-controlled source and never hand-copied.","All 24 role and document-type combinations rendered role-specific content with a landmark and more than 500 characters of text. The loader resolves docs/legal/ markdown through import.meta.glob with a raw query and loads one document at a time.","docs/proof/ui-01/network/browser-evidence.json (legal_observations); docs/frontend/audits/ui-01/theme-asset-legal-audit.json (role_content.renderer)","resources/spa/src/content/legalContent.ts; resources/spa/src/pages/legal/LegalDocument.vue","proven","Verbatim single-source loading is implemented as designed.","all eight accounts","None. Recorded as a positive finding so a later phase does not re-derive it.","UI-05","UI-05 builds the content pipeline","The content pipeline preserves verbatim source bytes and a test fails on any divergence from the source document hash.","none","UI-01 compared rendered length and role specificity, not byte-for-byte DOM equality. No byte-identical DOM claim is made."
"UI01-RENDER-001","runtime-error","medium","open","multiple","http://localhost:4173 (vite preview)","12 detail and summary routes","Money and collection rendering","Twelve routes throw an uncaught TypeError while rendering because nested payload fields are dereferenced without a guard.","UI/UX plan §9 design system and §21 testing; Plan §11.5 error envelope","A screen renders a defined empty or error state when a payload field is absent rather than throwing.","Under the repository's own canonical e2e fixtures these routes each logged a TypeError: /branch/cash-up (reading find, twice); /finance/cash-up/{id}; /finance/invoices/{id}; /finance/payment-records/{id}; /finance/receipts/{id}; /finance/refunds/{id}; /front-office/invoices/{id}; /front-office/receipts/{id} (reading formatted); /front-office/payments/record/{id} (reading amount); /merchant/compensation-summary and /personnel/earnings (reading length); /merchant/subscription (reading name). All twelve still rendered a landmark, so the failure is confined to a child component.","docs/proof/ui-01/network/browser-evidence.json (console_errors; route_visits.console_error_count)","resources/spa/src/pages/branch/CashUp.vue; resources/spa/src/pages/finance/; resources/spa/src/pages/front-office/; resources/spa/src/pages/merchant/; resources/spa/src/pages/personnel/Earnings.vue","proven","These components dereference nested money and collection fields directly. The repository's shared e2e fixtures omit those fields for the detail routes, so the dereference throws. Whether a production API response can omit them is a separate question the owning phase must settle against the backend contract.","merchant_branch; merchant_finance; merchant_front_office; merchant_administrator; merchant_personnel","A partially rendered screen with a silent console failure. No data is exposed. Severity would rise if the production API can emit the same shape.","UI-04","UI-04 delivers the shared components these screens render money and collections through","Each affected route renders with an incomplete payload and produces no uncaught exception, showing a defined empty state instead.","none","First actor is UI-04 because the money and table primitives are shared. UI-10, UI-12, UI-13 and UI-14 re-verify their own routes. The API-shape question may require a backend decision."
